,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2021,20.6,20.2,20.4,20.4,20.2,20.4,20.4,20.2,20.7,20.5,20.4,24.2,28.6,29.1,33.3,33.4,32.6,31.8,31,30.9,29.3,31.2,29.8,30.3,30.5,29.8,30.1,30.8,29.8,29.5,31.8,33.4,33.5,33.6,28.4,27.2,26.2,23,24.7,21.7,21.4,21.5,20.8,20.1,18.4,18.4,18.7,18.3
02/01/2021,20.3,21,21.1,21.2,21,21.1,21.4,21.1,21.1,21.1,20.9,22,22.4,22.4,22.7,22.4,22.4,21.9,21.4,20.9,20.2,20.7,19.9,17.9,16.6,16.1,15.5,15.6,18.5,20.2,21.7,22.3,22.6,22.6,22.4,22.7,22.8,22.6,22.8,22.5,22.6,22.8,22,21.3,21.1,21.3,21.2,21.1
03/01/2021,21.4,21.2,21.1,21.4,21.1,21.2,21.4,21.2,21.1,21.1,21,21.9,22.6,22.4,22.6,22.7,22.5,21.8,21.4,20.9,19.7,19.4,19.5,17.9,17.6,15.9,16.6,16.9,17.4,19.3,21,22.3,22.5,22.4,22.6,22.6,22.5,22.8,22.6,22.6,22.6,22.5,22.1,21.3,21.1,21.2,21.1,21
04/01/2021,20.3,20.1,19.8,20.1,20.2,19.8,20.3,20.2,20.1,20.1,20,23.1,27.2,27.6,31.5,31.5,33.3,36.8,38.5,38.9,38.6,38.5,36.8,36.8,38.6,37.7,37.8,38.3,38.9,39,39.6,40.6,40.1,38.2,30.4,27.3,25,23.6,23.4,20.4,20.3,20.5,19.8,19.1,19,19,19.1,19.3
05/01/2021,19.1,19.1,19.1,19,19,18.8,19.2,19,19.2,19.2,19.1,22.3,26,26.4,30.5,30.7,31.5,34.4,37.8,37.3,37.5,37.2,35.8,35.2,34.2,32.6,33,33.6,35.5,36.6,37.5,39.2,39.5,38.4,32.5,28.1,25.6,24.7,23.3,20.5,20.4,20.5,19.8,19.1,19,19,18.7,17.1
06/01/2021,17.5,17.1,17.5,17.4,17.1,18.3,20.3,20.4,20.1,20.2,20.2,22.9,27.3,27.6,31.6,32.1,32,33.8,36.3,36.3,36.7,38,38,38,37.7,38,38.4,38.5,38.7,37.9,40.5,42.5,42.5,41.3,31.9,28.1,25.4,24.4,23.7,21.8,21.4,21.4,21,19.9,20,20.2,20.1,20.2
07/01/2021,20.2,20.1,20.1,20.2,20.3,20.2,20.2,20.3,20.4,20.2,20.4,23,27.1,27.3,31.1,31.2,32.3,36.5,38.9,39.4,39,38.3,36.5,35.7,35.4,33.7,35.9,35,35.9,37,38.6,39,39.8,39.2,30.9,29.5,27.2,25.4,24.2,21.7,21.6,21.2,20.7,19.9,19.9,20.4,20.2,20.3
08/01/2021,20.4,20.4,20.3,20.2,20.4,20.1,20.4,20.4,20.5,20.3,20.2,23.2,27.5,27.9,31.8,32.5,32,33.4,37.5,38.4,39.5,40.3,40.8,38.1,37.3,38.7,38.4,38.3,38.5,38.7,38.9,40.5,38.8,38.8,32.2,28.9,26.3,25.5,24.3,21.9,21.5,21.4,20.9,19.9,20.2,20.2,20,20
09/01/2021,20.2,20.1,19.9,20.1,20.1,20.1,20.1,20.1,20.1,20.2,19.9,20.8,21.4,21.6,21.7,21.6,21.6,20.7,19.9,19.7,18,17.4,18.4,16.4,15.6,14.9,15.1,15.4,15.8,17.5,20.2,21.5,22,22.1,22.2,21.7,21.9,21.6,21.6,21.6,21.8,21.7,21.1,20.1,20.3,20.2,20.2,20.1
10/01/2021,20.1,20,20,18.2,17.3,17.3,17.1,17.4,17.3,17.1,17.3,17.9,18.6,18.7,19.4,20.5,20.8,19.9,19.7,19.6,20,19.7,20.1,19.7,18.6,18,17.6,17.8,18,18,19.4,20.2,20.4,20.4,20.6,20.5,20.5,20.7,20.6,20.4,20.4,20.4,19.9,19.1,19,19.1,18.9,19
11/01/2021,20.1,19.8,20,19.9,20.1,20.1,19.9,20.1,20.2,20.1,20.1,24.1,28.2,28.6,33.1,34.1,33.8,35.2,38.2,38.2,39.2,41,39.8,39.2,39.5,40.1,39.9,39.6,38.6,39.1,41.6,42.3,42.7,42.7,33.2,29.9,28.3,24.3,22.7,19,18.8,18.9,18.2,17.3,17.3,17.1,17.4,17.2
