,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
1/1/2021,126.9,127.5,127,127.4,128,127.5,127.8,128.2,127.4,127.6,127.2,127.5,126.6,127,127.6,126.9,128.2,125.3,126.6,124.1,124.5,125,126.2,125.8,125.4,126.7,125.3,126.6,124.3,126.2,125.3,126.3,126,127,126.8,127,126.7,126.8,127.6,127.3,127.5,127.2,127.2,126.9,127.6,126.8,127.1,126.8
1/2/2021,127,127.2,127.2,127.4,127.8,126.6,128.1,126.4,128,126.8,128.1,127.3,136.6,137.2,141.7,150.7,157,164.5,160,161.9,169.4,172.4,173.1,170.1,166.2,175.8,181.3,184.6,185.8,180.9,181.6,178.7,180.2,176.8,176.4,184.9,182.4,165.1,181.2,182.4,195,182.7,189.3,196.1,187.8,190.5,192.4,190.9
1/3/2021,183.8,187.3,191.9,189.5,181.8,182.8,185.8,181.6,190.2,189.8,189.9,184.6,183.7,168.2,193.3,202.1,204.2,205.5,196.5,207.3,202,192.4,207.9,208.8,205.6,208.6,193.8,199.6,196.3,187.5,203,209.9,209,211.9,201.9,206.9,206,175.3,201.1,209.7,212.1,214,209.8,212.9,213.5,204.3,210.8,205.3
1/4/2021,209,208.9,209.7,211,215.6,207.4,201.8,210.7,205.9,208.5,204.3,202.8,201.8,169.6,196.8,209,193.4,198.4,194.1,198.6,193.7,215.4,207.7,208.3,194.6,202.1,193.1,198,202.1,199.7,204.1,199,208.1,197.5,201.9,193,200.8,173.9,184.2,200.7,205.7,205.5,209.8,204.1,207,204.3,210.9,202.9
1/5/2021,194.3,195.7,198.8,205.5,205.5,193.4,196.4,201.4,202.1,192.2,191.8,194.9,204.5,172.5,197.9,204.3,204.2,204.9,204.8,208.1,208.4,204.4,219,226.4,219.2,221.9,222.1,223.7,220.7,224.8,218.6,223.6,222.1,222.6,215.4,212.5,208.6,188.1,210.1,210.2,215.6,216.6,224.5,220.2,215.5,209.7,212.7,217.5
1/6/2021,216,221.6,218.4,222.2,231.5,230,229.8,221.3,221.7,224,226.3,227.1,216.5,193.5,204.6,220.2,225.8,223.8,223.8,233.7,229.7,236.9,227.4,241.7,241.3,233.4,223.8,226.5,219.5,236.5,223.5,239.4,241.7,244.9,233.7,233.3,237.6,206.6,219.8,222.8,226.7,231.2,215.1,224,235.4,235.4,235.8,234.5
1/7/2021,232.3,219.2,233.2,235.6,239.7,233.9,244.2,230.2,238.3,226.2,233.8,226.8,225.4,196.6,213.8,226.3,235.6,214.7,227.8,231.1,228.6,226.5,238.2,226.1,235.1,220.4,229.2,227.1,237,221.7,217.8,237.6,231.1,232.3,228.1,229,225.7,199.3,208.8,225.3,233.4,236.3,234.8,229.3,230.5,237.2,230.4,246.7
1/8/2021,244.7,242.1,238.2,237.1,233,234.5,229.8,233.8,247.6,243.4,230.6,233.2,230.1,208.3,215.6,237.9,240.2,235.6,229.8,238.4,236.9,247.8,246.1,241.3,246.2,230,219.8,234.3,243.2,249.3,251.7,242.7,245.8,242.9,237.7,228.1,217.6,185.2,214.8,222.6,221.3,225.1,229.5,217.9,216.9,222.6,221.2,221.5
1/9/2021,220.3,214.9,218.6,220.5,220.3,215.4,212.4,222.9,210.8,208.4,211.5,222.9,206.5,187.6,195.9,223.4,221.3,227.1,224.5,225.8,221.4,218.8,220.4,203.7,203.4,201.9,214.1,219.9,230.5,227.2,219.8,226.1,225.4,220.1,232.2,229.7,225.5,199,220,227.9,227.3,231.8,223.7,204.7,211.4,219.6,221.7,212.6
1/10/2021,218.3,214.1,212.3,227.1,215.5,222.6,225.5,217.9,221.1,218.9,214.9,209.7,188.6,181,198.2,210.6,218.3,221.8,208.9,216.6,215.1,221.9,211.5,216.1,218.8,201.6,215.7,221.4,227.5,226.4,216.8,219.2,219.4,222.2,220.3,213.5,218.3,181.2,216.8,221.9,223.8,214.2,214.4,213.7,212.8,218.1,213.2,227.9
