,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
1/1/2021,21.18,9.08,14.23,27.15,18.91,16.33,17.01,21.75,12.75,18.49,25.76,20.33,16.96,17.4,18.23,23.39,22.09,20.92,20.37,25.58,21.18,22.91,25.25,23.16,24.09,22.3,19.43,21.74,20.17,23.01,21.2,20.99,17.79,18.39,18.43,18.96,19.8,21.69,17.73,18.13,19.56,19.96,18.16,18.12,18.26,18.99,17.4,19.04
1/2/2021,27.08,20.7,17.22,13.82,17.52,17.22,17.02,24.4,17.87,18.24,18.06,16.48,18.44,17.56,19.9,18.8,19.7,20.26,19.61,22.18,24.14,15.2,17.24,18.19,21.07,18.2,19.07,18.46,20.26,23,18,17.46,20.16,17.58,17.74,18.03,19.63,18.28,16.93,12.28,19.08,15.88,15.34,18.29,16.81,16.8,17.83,17.81
1/3/2021,15.99,12.28,21.3,20.21,18.2,16.6,19.95,21.1,17.23,15.54,21.55,16.43,17.92,19.53,19.6,17.96,26.76,16.19,24.75,25.03,23.28,16.78,20.37,20.75,21.54,19.73,18.3,19.81,16.75,16.83,19.14,18.9,15.75,18.35,18.97,16.71,16.59,20.07,18.28,15.16,16.22,17.52,18.25,17.46,10.79,14.78,22.61,16.64
1/4/2021,18.64,17.88,17.12,15.4,15.02,17.25,15.46,15.39,17.42,16.62,16.06,11.44,16.54,17.25,17.38,18.48,23.2,22.75,23.72,25.71,19.07,24.98,17.74,19.39,23.25,22.09,18.62,22.94,25.54,19.71,23.92,25.13,22.94,18.34,19.92,24.17,20.57,19.08,17.01,18.68,17.95,16.86,17.78,18.96,16.91,17.88,18.69,18.18
1/5/2021,16.67,17.71,20.55,22.79,18.1,18.97,21.1,18.73,15.6,11.01,16.29,14.88,15.42,17.61,14.16,16.94,24.19,20.83,14.99,22.34,20.63,14.19,21.92,21.8,16.47,16.9,17.61,16.18,19.98,18.25,20.36,18.69,18.43,17.18,19.23,18.61,17.02,10.47,16.84,16.66,16.85,19.56,17.31,13.26,14.3,19.51,16.86,16.23
1/6/2021,18.6,20.17,17.95,16.36,19.11,20.02,17.33,18.7,16.7,15.68,18.55,18.67,15.8,16.86,18.78,18.7,22.4,23.96,23.12,20.46,25.79,23.2,26.22,20.58,21.63,23.62,20.05,14.81,23.04,24.61,21.33,21.05,18.49,21.91,19.12,20.97,20.42,22.99,19.96,17.15,17.87,20.05,17.3,19.42,22.33,20.61,18.85,19.96
1/7/2021,20.34,20.14,23.27,21.29,18.51,19.16,17.1,19.32,17.6,17.5,20.21,17.85,17.97,18.77,20.31,18.56,23.15,26.44,25.13,25.19,23.89,22.23,27.18,22.92,20.54,22.26,18.43,20.91,23.11,22.98,21,23.84,22.35,21.23,20.63,23.76,20.69,20.4,20.94,23.78,20.62,17.73,20.65,18.63,18.21,17.89,18.41,18.33
1/8/2021,17.82,20.94,19.26,17.9,16.22,11.36,16.48,17.63,15.85,19.44,15.99,17.81,21.11,19.48,19.67,19.87,23.65,24.35,24.23,24.69,23.36,21.99,25.87,27.15,21.9,22.81,23.66,25.32,24.05,17.34,17.84,23.99,20.69,19.8,21.93,22.02,18.39,18.58,21.51,20.01,19.47,19.06,20.22,18.17,22.09,20.93,20.56,19.01
1/9/2021,17.23,20.98,18.23,23.15,21.95,20.41,20.26,19.77,18.12,17.68,19.09,17.53,17.79,20.23,20.5,22.23,21.38,28.21,24.27,29.75,21.76,23.65,24.16,17.58,19.76,22.99,22.05,25.31,17.39,18.75,25.26,20.38,19.49,19.29,19.91,21.31,17.19,19.27,18.7,20.24,19.21,18.21,17.38,16,14.77,18.89,18.27,18.42
1/10/2021,20.33,16.82,21.97,22.65,16.83,17.27,16.25,14.81,15.46,16,15.78,18.13,16.74,15.81,19.14,18.34,18.77,22.66,26.04,24.95,23.61,24.38,23.54,19.63,21.1,20.95,20.89,24.35,21.36,17.07,24.13,19.5,21.42,16.38,20.21,17.33,16.66,15.86,15.52,14.52,16.57,14.38,15.95,15.37,16.33,14.71,16.25,16.31
1/11/2021,22.41,18.87,16.77,14.21,12.47,16.44,14.56,12.52,16.23,18.28,12.03,11.42,13.14,15.81,15.75,18.3,20.32,19.39,19.44,18.29,20.94,19.9,20.87,19.38,22.55,18.53,14.95,16.27,21.75,16.97,16.27,19.2,19.23,14.38,14.23,21.52,16.48,13.8,13.65,14.32,13.76,11.71,14.2,14.17,13.2,12.11,15.68,13.33
1/12/2021,12.72,13.14,17.43,20.45,13.16,11.78,16.82,14.68,13.93,14.33,14.34,13.58,11.83,15.49,12.51,17.05,21.67,18.34,21.5,17.86,18.76,20.17,20.95,19.96,20.04,15.38,21.35,19.19,19.42,19.71,23.74,21.37,19.97,19.29,19.87,20.13,23.67,18.36,19.05,21.44,20.75,20.17,19.67,17.98,19.55,18.26,19.4,24.07
1/13/2021,20.77,23.59,23.43,22.66,18.41,18.87,18.81,21.09,12.91,18.41,19.03,19,14.47,19.29,22.34,19.43,25.27,22.13,25.4,23.56,23.98,26.22,25.14,23.47,27.52,23.52,23,19.82,18.65,17.25,22.27,18,18.17,18.15,20.08,19.5,15.97,16.67,16.16,15,14.1,17.26,14.51,14.79,15.97,14.17,15.51,14.29
1/14/2021,15.25,19.78,15.1,16.26,22.15,15.97,15.06,17.42,13.67,15.02,14.38,18.09,16.22,14.88,17.64,18.22,18.93,23.55,23.44,26.2,27.01,24.33,24.76,25.92,20.54,22.21,21.23,21.21,21.55,25.87,25.23,21.71,26.4,20.38,22.79,21.52,19.97,19.36,18.63,17.18,19.43,18.64,18.43,17.95,18.52,19.53,18.35,18.32
1/15/2021,20.7,27.89,21.04,18.63,18.97,19.18,21.17,19.07,22.54,18.78,18.42,20.17,19.3,18.77,19.7,21.63,23.85,23.5,27.09,27.08,21.73,23.45,27.06,25.19,23.75,24.16,22.43,24.52,23.1,21.77,24.78,22.73,25.16,23.01,21.1,21.61,20.85,22.23,18.6,18,20.98,20.85,18.04,18.85,20.14,19.03,18.02,22.97
1/16/2021,21.12,18.08,20.09,21.05,18.11,17.3,18.74,18.01,16.91,17.92,21.24,14.21,14.11,20.16,18.28,20.77,22.26,18.69,23.41,18.22,21.48,20.36,22.39,17.66,20.78,20.25,17.77,20.6,19.1,14.93,16.77,18.14,19,19.5,17.38,19.1,19.51,18.74,18.75,19.24,18.89,17.21,17.89,17.52,16.74,20.12,20.35,19.8
1/17/2021,19.35,18.33,20.97,21.08,17.13,15.17,15.99,16.74,15.24,15.41,18.2,17.88,17.5,16.94,20.85,19.77,20.43,21.69,27.26,21.85,18.24,24.34,23.03,20.47,21.25,22.94,17.86,20.02,18.5,16.27,17.76,18.02,20.29,21.78,20.04,20.74,18.64,19.47,16.4,15.74,18.25,18.39,19.29,18.09,17.56,18.9,17.42,14.84
1/18/2021,16.41,19.59,20.72,20.88,20.15,17.24,16.68,16.07,19.03,22.54,16.51,16.51,19.38,17.9,17.12,18.48,24.02,24.16,23.98,21.69,19.28,25.54,21.08,21.67,23.57,22.03,21.56,20.45,20.67,21.07,20.06,20.46,19.5,16.01,16.6,18.37,19.55,16.28,13.06,15.95,15.62,13.71,14.36,13.93,14.59,13.13,16.08,14.33
1/19/2021,13.84,18.19,20.36,14.28,18.39,14.03,15.51,18.28,14.28,14.88,12.94,13.89,13.85,15.8,12.22,13.42,17.23,21,15.84,21.53,18.25,18.18,20.84,19.4,22.32,18.76,19.96,22.83,20.3,16.22,17.38,19.07,15.28,15.07,16.51,18.08,14.56,13.24,13.84,15.62,13.65,12.85,12.81,15.33,13.81,12.43,13.76,15.04
1/20/2021,13.25,18.61,18.02,16.05,15.87,13.64,12.9,18.02,13.15,12.42,13.54,14.44,13.99,12.9,14.93,14.66,15.89,18.67,17.7,24.17,16.1,19.05,20.85,19.76,18.88,19.99,20.01,21.39,18.6,19.94,18.54,17.77,17.44,21.1,21.55,20.05,20.53,19.67,18.15,17.71,18.21,16.92,11.12,18.55,18.38,16.3,16.77,19.71
