,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2018,17.7094,16.8025,17.6469,17.3235,17.568,17.304,17.0564,17.5755,18.739,18.605,18.4559,18.7099,18.454,18.7295,19.0415,18.509,18.3405,18.0455,18.2115,18.2495,17.8705,18.0744,18.048,18.242,18.336,18.365,17.815,18.509,18.233,18.288,18.055,17.9424,18.8615,18.4249,18.6215,18.7269,18.2134,18.0744,17.8585,17.1334,17.5825,17.2535,17.5345,17.1959,17.3665,17.0615,17.412,17.232
02/01/2018,17.4,17.3689,17.3134,17.4025,17.1525,16.9874,17.5774,16.8069,17.7385,17.3015,17.4505,17.3209,18.2855,18.7605,19.752,23.098,24.672,27.1895,28.795,28.1595,27.919,28.459,27.5184,28.4185,28.4664,27.9524,28.69,28.0415,28.7759,28.423,28.7735,28.037,28.7785,28.2455,26.621,26.208,23.808,21.612,19.25,18.6915,18.7964,17.9279,18.312,18.6,17.8465,18.473,17.7145,18.2255
03/01/2018,17.5895,17.933,17.6085,18.108,17.4095,17.669,17.4529,18.096,17.232,17.892,17.6805,17.5394,19.01,19.5385,21.0095,23.3834,26.4335,28.097,29.8174,29.155,29.177,28.471,29.628,29.9664,30.1585,29.4524,29.753,29.4745,29.131,29.472,29.832,29.681,30.072,29.4885,28.0394,26.2845,25.8745,22.0415,19.3515,19.0604,19.908,18.766,18.6334,18.4485,18.1224,18.252,18.2759,18.1439
04/01/2018,18.3864,17.8029,18.5639,17.94,18.132,18.4225,18.329,18.3885,18.1154,18.6215,17.784,18.427,19.481,20.676,20.8799,24.785,25.6605,28.1135,29.4625,29.8825,30.3335,30.0674,30.223,29.263,30.252,29.6595,28.987,29.5895,30.0505,29.3115,28.2815,29.0735,29.273,28.98,27.4559,26.4599,25.0919,22.5669,20.4985,18.6644,19.6585,18.084,18.2115,17.712,18.295,17.5849,18.014,17.9594
05/01/2018,18.2255,18.096,17.885,18.24,17.652,18.391,17.731,18.1105,18.113,18.156,17.844,17.892,18.9865,19.7205,21.8425,24.473,25.9559,28.0079,30.41,30.096,29.556,29.7745,30.6145,31.1784,31.752,30.288,30.0429,29.0855,29.669,29.1334,30.3694,29.5779,29.808,28.8575,28.063,26.7075,25.488,21.8974,19.483,20.148,19.0275,19.315,18.5254,17.5704,18.1535,18.3455,17.705,17.8799
06/01/2018,18.0669,17.808,18.048,17.542,18.504,17.604,18.079,17.6735,17.849,18.1245,17.7505,17.7,18.125,17.5224,18.204,17.8414,18.739,18.708,18.7035,18.3934,18.667,18.3934,18.61,17.7789,17.5224,17.695,17.0615,17.532,17.6185,17.52,17.0905,17.731,17.6115,18.108,18.348,17.3325,18.3939,17.556,18.0259,17.7719,17.981,17.7145,17.8724,17.4745,18.089,17.6905,17.496,17.724
07/01/2018,17.6854,17.5485,17.3519,17.9979,17.3735,17.6735,17.7719,17.669,18.2759,17.414,17.448,17.9354,17.5079,17.3685,18.113,17.6159,17.4865,17.0905,17.292,17.51,17.386,17.107,17.573,17.712,17.9325,17.4599,17.9354,17.6399,17.028,17.9974,16.908,17.7935,17.6854,17.664,18.1945,18.024,18.163,17.9664,17.6159,18.1635,17.858,17.2035,18.007,17.3615,17.7625,17.525,17.208,17.8654
08/01/2018,17.429,17.8099,17.825,17.069,18.0165,17.3355,17.808,17.6565,18.2474,19.2,18.7654,18.8425,18.5879,19.416,21.228,25.344,26.738,28.3899,30.0814,29.172,30.3405,30.761,31.584,31.469,31.5189,30.0935,30.1849,29.443,30.912,30.5425,30.8519,31.277,30.5925,29.4839,27.7155,26.767,24.739,22.325,19.812,19.6345,19.4349,18.3694,18.6385,17.8825,18.1369,17.774,17.4025,17.393
09/01/2018,17.2439,17.2225,17.263,17.347,17.297,17.184,17.3665,17.172,17.2055,17.525,17.2055,17.2509,18.4874,18.732,21.4699,25.1544,26.3689,27.6574,29.1095,29.4095,30.2544,30.3435,30.914,30.6625,31.5049,30.9454,30.3864,30.979,31.0035,30.6959,30.542,31.0275,30.384,30.0625,28.1495,27.367,25.8075,24.9909,22.181,20.618,21.0289,19.7304,18.763,17.82,18.7754,17.858,18.3099,17.7789
10/01/2018,18.473,17.9685,18.1535,18.0914,18.211,17.9664,18.4105,18.0645,17.9664,18.4585,18.1105,18.0044,19.114,20.0855,21.048,24.2325,25.2195,27.3745,28.9605,28.8624,29.1745,30.228,29.4165,29.2275,29.472,29.4144,29.4335,29.155,29.4745,29.3279,30.0385,29.4599,30.223,29.8055,27.9675,26.9349,24.917,23.0184,20.27,19.2915,18.0984,17.99,18.2955,17.419,17.5849,17.1189,17.9185,17.4454
11/01/2018,17.537,17.4815,17.5294,17.2415,17.686,17.527,18.0215,17.801,17.7885,17.5704,17.4915,17.6205,18.672,19.1115,20.952,24.084,25.7565,28.2865,29.033,29.4839,30.7269,29.6735,30.701,29.5895,30.893,30.319,30.7465,29.676,30.9985,29.551,30.9025,30.7125,31.0779,30.6095,29.2245,27.07,24.7055,23.4095,21.353,19.4109,19.2935,18.7345,18.7055,18.077,18.4295,18.504,18.3335,17.976
12/01/2018,17.849,18.247,18.1705,17.8414,18.1275,18.048,18.1965,17.7435,18.146,18.1825,18.4755,18.0695,19.296,19.555,21.288,22.8864,25.8335,28.157,28.8215,28.829,30.2495,29.8005,29.753,29.3209,29.4979,30.0119,30.3314,28.92,29.16,29.035,29.4,28.5984,29.047,28.33,27.266,26.6115,24.6644,23.1745,20.424,19.469,18.6814,18.1585,17.736,18.0359,17.899,17.736,17.5849,17.6784
13/01/2018,17.892,17.899,17.6135,17.5035,17.796,17.916,17.8174,17.815,17.5464,17.8869,17.7479,17.146,17.851,17.8945,17.3805,17.7145,18.305,18.5014,18.295,18.202,18,18.614,18.2619,17.4979,17.993,16.7929,17.2005,17.1915,16.9175,17.2894,16.8575,16.8794,17.8895,17.3615,18.0575,17.5294,17.82,17.9664,17.6015,17.681,17.844,17.7265,17.5965,17.65,17.868,17.9039,17.443,17.6089
14/01/2018,17.6255,17.784,17.568,17.8244,17.9664,17.5035,17.7455,17.767,17.304,17.832,17.237,17.5825,17.899,17.143,17.9664,17.7215,16.8675,17.148,16.8335,17.287,17.333,16.985,17.256,16.8335,16.7975,17.172,16.781,16.8379,16.8265,17.1795,16.44,16.7759,17.724,17.232,17.5175,17.268,17.604,17.5294,17.371,17.429,17.5175,17.3615,17.3425,17.5585,17.424,17.208,17.441,17.724
15/01/2018,17.424,17.2245,17.304,17.988,18.1035,18.3764,18.4175,17.962,18.5975,18.732,18.5084,18.754,19.0294,18.8064,19.982,23.3759,25.846,28.5814,30.0265,29.988,30.794,30.1395,31.344,30.6644,31.7929,30.9214,31.104,29.8875,29.6205,30.1175,29.525,29.7789,28.99,28.615,26.695,25.2625,24.3624,22.7975,20.1434,18.9524,19.0995,18.516,17.426,17.5704,17.309,17.28,17.3185,17.563
16/01/2018,17.395,17.6425,17.1215,17.561,17.3349,17.513,17.2894,17.208,17.52,17.1334,17.5585,17.4095,18.538,18.9839,20.8724,23.604,25.44,28.1185,29.0709,29.8729,30.3025,29.8825,30.4004,31.572,31.1399,30.9454,29.938,30.3934,30.5949,29.6375,30.0145,29.8055,29.7579,29.311,27.605,26.6299,24.384,21.562,18.895,18.732,18.24,17.7985,17.2894,17.232,17.131,17.2875,17.28,16.927
