,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2018,36.5519,35.264,32.568,31.7999,34.7519,36.528,38.0639,37.36,38.6399,46.616,41.3839,43.2719,39.2319,41.112,42.768,45.2319,45.736,44.576,43.9039,44.7439,43.928,45.0079,42.2,42.688,41.3759,44.0639,42.352,43.056,43.048,42.576,41.1279,43.0239,44.4879,43.736,45.624,44.264,42.504,41.632,33.944,33.736,29.568,31.9279,38.2319,39.5439,40.952,40.4399,38.248,37.72
02/01/2018,36.88,35.9039,31.28,37.56,37.1279,36.896,36.152,35.424,39.712,46.624,45.352,44.32,43.088,43.1759,48.112,54.2449,61.93,74.5049,73.9499,74.4649,74.0849,75.025,75.16,73.2549,74.94,70.3349,69.9349,67.32,69.5049,73.105,74.8,74.495,74.055,69.5449,58.0849,50.52,46.236,45.3839,39.512,41.6479,36.2799,38.048,38.144,37.928,41.152,42.456,43.8079,44.264
03/01/2018,41.728,43.192,40.136,47.096,44.8559,44.344,44.9599,46.456,45.736,53.4,50.66,44.5719,45.096,46.248,44.3759,50.7249,59.1349,73.275,74.785,74.0299,69.6399,75.25,70.68,69.535,69.605,69.1449,69.055,63.7999,68.1849,69.9049,68.1999,70.75,69.98,64.7099,54.77,50.1199,45.1279,44.0639,39.416,38.3759,34.312,38.5359,38.9199,39.3839,41.192,42.6959,34.0239,37.7999
04/01/2018,35.2239,36.08,35.8559,41.0639,40.576,40.624,43.9039,43.296,43.9599,46.36,49.9119,45.4959,44.264,45.824,43.824,50.91,58.1899,67.5049,70.0899,71.5199,69.8,71.305,72.165,69.3349,68.2099,67.8949,67.16,62.185,65.55,67.2399,68.7799,67.2699,66.44,62.11,54.625,45.859,46.7999,45.208,40.5439,39.216,38.7519,38.784,40.4959,43.312,44.504,45.4399,45.4,47.112
05/01/2018,40.824,42.4,40.2,44.7519,48.32,47.304,50.9599,50.215,42.817,30.84,37.456,33.784,36.576,40.32,44.0159,47.2319,59.6199,62.5999,68.555,72.07,70.535,70.7549,70.9599,71.6299,72.5749,77.945,75.33,65.7249,67.235,71.485,70.235,71.7649,67.5849,69,57.875,50.4599,47.692,46.048,42.888,43.5919,37.7599,40.936,43.264,43.528,46.0239,45.4879,43.712,42.3919
06/01/2018,39.9119,39.4319,41.312,43.0719,45.464,46.528,44.608,48.416,45.2239,45.1759,44.784,45.088,46.4,43.7999,44.768,47,50.06,48.004,48.04,47.9039,45.9199,45.848,45.16,46.944,47.264,46.7519,46.52,46.7039,45.6559,45.792,48.832,47.16,47.3359,48.9199,49.424,48.848,49.1679,44.48,42.2,44.9199,43.608,43.952,42.688,41.584,41.056,40.2719,39.6559,40.2799
07/01/2018,40.344,37.984,38.208,40.0719,40.7519,41.624,41.6479,40.7519,42.616,39.464,40.6479,40.584,42.24,39.216,41.8639,40.84,40.192,41.144,38.6399,38.7439,37.24,39.192,37.728,36.3279,36.4879,39.424,39.568,38.824,39.7999,39.8559,38.84,37.568,37.816,40.8079,38.104,40.0719,40.5359,39.728,40.504,40.7599,40.08,40.2879,40.088,38.7439,41.264,39.568,40.3919,40.9199
08/01/2018,39.352,38.5439,37.632,39,41.84,41.688,40.9039,39.68,40.08,41.672,42.5519,42.144,42.152,43.896,44.464,48.088,60.215,71.04,78.5999,78.425,77.15,82.87,81.4749,86.5449,85.48,76.2399,76.135,74.3899,77.1699,80.6299,78.5199,77.2399,75.3349,72.035,59.5499,52.985,52.665,49.569,46.4879,47.4879,40.2719,41.8559,40.216,39.2879,39.528,40.792,39.248,39.2719
09/01/2018,46.032,42.6479,42.1679,40.664,42.1279,44.9119,44.56,47.888,46.248,48.6399,48.9199,49.4879,50.98,49.02,52.7799,59.22,69.2399,73.5899,80.0299,80.9,80.9899,77.47,77.5599,77.8099,73.945,74.695,74.19,70.7949,80.805,80.8649,86.8499,80.9049,73.855,69.32,57.505,58.95,50.6549,49.819,45.088,47.4399,38.736,41.576,41.9039,40.664,42.5519,45.4,46.5439,43.984
10/01/2018,40.32,38.1279,39.0719,43.504,44.152,43.2879,43.2,42.776,43.216,49.368,47.736,43.0079,45.056,45.4879,47.6559,54.9399,62.58,72.495,75.8399,76.445,71.7699,78.2949,79.455,69.44,72.2799,71.0749,69.7099,66.735,69.7799,64.22,67.69,68.985,66.79,67.4649,53.95,46.9399,42.2319,42.984,39.576,40.1279,37.4319,38.664,37.88,40.5519,41.7599,44.56,46.824,48.3919
