,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2019,37.1839,37.1199,39.936,40.0639,39.4879,39.8079,40.6399,41.728,42.24,39.424,38.528,39.68,39.4879,38.5919,37.312,37.824,37.3759,35.9039,33.984,34.624,34.688,32.3839,33.5999,30.208,33.664,31.488,30.784,33.2799,33.728,35.9039,35.0719,36.992,38.144,41.792,38.9119,39.872,39.5519,39.872,41.472,40.7039,40.9599,40.448,39.2319,40.9599,40.192,40.0639,41.344,38.3359
02/01/2019,39.104,40.0639,40.896,39.424,39.68,37.568,39.1679,43.52,40.6399,40.0639,40.896,39.8079,41.088,40.192,50.2999,50.945,58.6899,61.825,55.165,55.4249,60.095,56.705,55.36,56.575,58.1749,58.115,62.205,57.73,60.2249,60.0299,58.945,60.735,61.6349,62.4,60.605,57.215,56.77,55.615,52.9949,51.7099,50.3699,51.2,49.8559,49.0239,51.2,48.896,48.6399,47.5519
03/01/2019,46.784,46.784,46.848,45.7599,44.992,44.032,45.824,48.576,47.296,47.7439,47.424,48.192,48.832,47.7439,52.99,56,64.4499,65.855,63.68,60.0299,59.5849,60.93,53.1199,56.255,57.535,52.5449,53.1199,56.705,57.7249,58.0499,60.735,57.9199,57.855,58.6899,63.5499,59.0099,59.965,62.275,57.0849,58.625,56.895,60.29,53.4399,55.5499,56.5149,54.785,52.0299,49.41
04/01/2019,49.216,45.7599,46.4,44.5439,45.1839,44.2239,45.3759,52.16,50.11,49.282,49.2799,49.472,50.1749,54.3349,57.09,64.51,66.5599,71.9349,70.8499,68.3499,68.61,67.775,70.3349,73.4749,77.375,73.025,73.15,68.48,67.5199,69.695,63.4249,64.19,67.4599,66.43,64.19,61.38,61.695,63.7449,65.2149,61.825,57.5999,53.8849,56,52.865,54.5299,53.5649,52.5449,48.066
05/01/2019,50.1749,47.1689,48.832,46.144,45.056,44.2879,44.992,44.992,44.032,44.992,42.688,44.16,44.16,43.0079,43.0079,44.8639,45.312,43.712,43.0079,44.48,45.1839,46.3359,45.568,45.1839,50.56,51.9,49.476,49.472,52.86,49.54,50.685,50.1749,55.235,56.705,53.8849,56.77,57.855,57.9199,61.63,60.9949,59.3899,56.3849,56.5099,56,52.16,53.4399,53.38,51.2
06/01/2019,51.325,50.3699,50.4949,45.57,45.1839,46.528,45.632,44.48,45.3759,43.0079,44.48,43.9039,42.624,43.2,43.9679,43.584,44.7999,44.48,44.352,42.7519,45.632,43.6479,45.6959,46.464,50.75,52.99,52.93,57.79,55.2999,54.1399,48.7719,51.9,58.0499,61.25,62.59,63.105,63.23,69.57,67.5849,62.4,65.15,64.9599,67.9049,57.985,56.125,54.465,53.7599,55.68
07/01/2019,53.31,53.955,52.3499,50.115,48.896,49.2799,48.6399,51.965,54.9749,50.625,49.7949,52.48,53.18,54.465,56.77,59.1349,64.7699,65.4049,67.1999,68.675,68.285,63.4249,64.2549,66.1149,64.51,68.48,70.8499,67.9649,69.955,69.695,65.5999,64.125,70.785,70.0149,68.8,71.36,66.5,69.885,71.8099,68.8649,66.43,64.7699,63.04,60.48,60.22,57.09,58.6899,56.1899
08/01/2019,54.4,49.7939,47.104,46.4,45.6959,43.0079,44.8639,46.9119,45.1839,42.816,43.2,45.248,48.192,51.2,55.36,61.4399,64.51,69.1849,68.605,64.6399,65.0899,67.775,64.8349,65.2149,65.5999,73.2149,69.8249,67.5849,65.4049,68.29,66.6849,66.945,66.945,70.08,70.72,71.8099,72.445,68.095,68.16,74.82,68.0299,65.41,66.3649,58.755,55.68,53.4399,56.06,51.33
09/01/2019,53.7599,49.922,47.616,49.152,47.4879,47.1679,45.248,52.415,49.2809,48.6399,49.344,50.24,51.07,50.945,55.935,64.385,68.9899,74.8799,76.415,74.2399,71.1699,69.8249,69.1849,72.19,69.44,79.55,79.105,73.1549,76.605,77.635,73.47,73.73,72.5749,76.5449,73.98,84.0999,74.43,77.12,78.1449,77.3099,73.855,69.5049,67.7149,63.615,64.2549,62.145,60.99,54.595
10/01/2019,53.82,57.09,53.695,51.97,51.965,49.6679,49.9199,55.4199,51.52,52.74,51.2,49.728,50.9399,52.2249,61.695,64.5149,65.665,67.775,71.2949,69.1849,71.36,66.8799,68.6699,70.595,76.9899,80.9599,80.385,75.3899,72.5749,73.345,71.105,73.345,73.2149,73.2149,77.25,79.23,83.97,72.7649,68.5449,72.6399,63.875,66.94,63.81,60.735,58.305,60.415,61.695,59.2
11/01/2019,55.2999,54.4,52.22,49.86,49.728,48,48.448,51.84,49.984,49.0239,47.68,46.4,55.615,53.1199,57.345,61.7599,61.375,65.4049,67.8399,64.385,67.2649,71.425,70.525,74.5599,76.675,69.6299,72.705,69.12,68.48,69.57,65.66,61.8899,65.2149,72.065,66.43,66.82,71.04,67.9649,68.93,64.7649,60.16,61.06,56.445,57.855,55.36,54.595,53.7599,49.8569
12/01/2019,50.24,46.6559,46.464,46.4,46.5919,48.192,47.36,41.984,44.608,44.16,41.664,42.368,40.7039,41.5359,42.112,43.0719,45.952,39.936,44.2239,42.368,41.9199,43.3919,46.144,48.192,49.152,51.005,54.145,52.29,50.56,51.645,51.52,58.3699,56.7649,59.9049,59.9049,61.375,64.8949,66.18,62.59,62.2099,60.99,58.4949,61.1199,58.435,54.845,52.095,54.02,50.11
13/01/2019,48.3219,47.552,48.7039,47.5519,42.624,43.6479,43.136,43.2,40.192,40.7039,41.9199,41.0239,39.2319,39.1679,40.192,42.4319,41.152,41.5999,40.448,40.9599,41.792,41.472,42.304,44.032,46.464,52.9249,54.785,54.08,50.88,54.27,56.58,51.07,56.77,63.8699,70.3349,79.36,73.7949,71.04,69.565,68.8,67.01,60.735,59.07,61.7,60.6699,57.985,54.4,54.145
14/01/2019,56.06,49.22,50.1749,47.4889,45.824,45.1839,46.4,49.9199,56.7,49.7319,48.832,48,48.768,52.7999,59.9,66.2399,68.93,71.23,69.3799,72.445,72.1299,72.125,71.62,72.125,71.2949,75.5199,76.8,72.1299,76.16,73.47,72.065,74.305,74.175,72.6399,74.8799,73.535,82.625,81.41,78.5899,74.175,70.98,65.4049,62.08,64.9599,63.105,61.25,62.6549,57.15
15/01/2019,56.5149,57.34,53.1199,53.1199,51.1399,47.296,47.5519,51.005,50.56,49.027,46.784,47.36,53.31,53.31,57.7949,59.07,62.9749,67.65,59.3899,60.93,62.4,57.73,62.845,68.035,67.5199,65.855,64.8949,62.3349,59.5849,62.72,61.25,65.2799,67.3249,71.555,72.19,69.57,73.5999,72.6399,66.75,69.8249,65.2149,60.99,62.2099,57.025,56.32,56.1899,55.36,53.375
16/01/2019,49.22,50.9399,49.796,48.1279,46.464,44.096,44.032,48.896,45.056,44.8639,44.608,42.112,52.7999,51.9,54.2099,58.1749,66.5599,64.4499,61.4399,64,62.08,63.485,64.4499,69.8249,70.9749,76.8,75.7099,69.5049,66.37,75.1999,66.945,70.5899,71.6149,72.4499,77.695,75.9049,74.625,74.94,76.8,77.6999,75.07,70.9749,67.97,64.8949,63.81,62.9749,62.465,57.47
