,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2018,6.9535,6.944,6.8575,7.264,8.256,8.8195,8.0255,7.811,8.33,7.76,8.2175,8.304,8.1535,8.131,8.3395,8.1375,7.347,7.2995,7.424,7.3855,7.181,7.414,7.386,7.222,7.4945,7.1875,7.235,7.437,7.3055,7.072,7.395,7.389,8.1375,8.355,7.5235,7.0945,7.014,7.1395,7.1425,7.1325,7.021,7.1135,6.909,6.982,6.928,6.909,6.883,6.893
02/01/2018,7.0945,6.9725,6.9665,7.12,8.0385,7.8785,7.779,7.8435,7.8045,7.7695,8.272,8.2275,8.371,7.936,8.5535,12.634,16.422,22.368,22.112,23.408,23.9904,23.8595,22.9725,24.32,24.6434,24.899,24.605,22.7005,23.0625,23.2894,23.5615,22.1635,22.448,19.9775,18.7905,16.3425,15.776,13.8685,9.629,10.3325,8.845,7.747,7.1715,7.2925,7.1905,7.245,7.28,7.6065
03/01/2018,7.4815,7.2285,7.2225,7.2895,8.1955,8,7.9585,8.0605,8.0255,8,8.5825,8.2145,8.4545,8.6365,8.512,11.658,17.5005,23.6675,23.1805,23.6865,24.5184,24.1185,24.208,24.1215,24.3965,24.877,26.0735,24.4095,24.2145,24.9185,24.0385,24.464,24.1404,23.4435,19.712,17.1264,16.5055,15.219,11.2195,11.206,9.453,8.045,7.798,7.6225,7.421,7.3505,8.0445,7.2035
04/01/2018,7.238,7.2835,7.2125,7.088,7.968,8.362,7.7215,7.731,7.856,7.952,8.4675,8.1565,7.8755,8.214,8.464,10.6305,17.3535,23.0849,23.2544,23.155,25.8654,25.3665,23.997,23.8974,24.1535,25.4594,24.931,23.216,23.5905,23.3244,22.5955,23.0879,23.6509,20.256,18.848,17.1555,15.5455,15.232,11.395,11.4755,9.904,7.8975,7.1775,7.2865,7.2445,7.242,7.1455,6.928
05/01/2018,6.8605,7.1585,7.0305,6.925,7.8525,7.373,8.163,7.6,8.109,9.123,8.8385,8.787,8.2305,8.0835,8.08,11.3055,17.267,22.9985,22.6784,22.819,23.8145,23.9839,25.155,24.2275,24.0445,23.597,23.6095,23.8274,24.534,23.312,23.4529,23.152,22.5665,22.3134,17.811,15.421,13.296,13.1745,10.5375,10.557,8.019,7.456,7.1775,7.005,6.976,6.8445,7.1905,7.0145
06/01/2018,6.9535,7.0465,6.9505,6.9085,7.178,6.8445,7.8115,7.667,7.699,8.24,7.9105,8.736,8.1375,7.888,7.968,7.8305,7.405,7.4015,7.2095,7.8435,9.2285,8.4835,9.318,7.824,7.7795,7.28,8.787,8.7295,7.418,8.4925,7.773,6.5535,6.784,7.107,7.066,7.267,7.1455,7.392,7.0655,7.341,7.136,7.5135,7.264,7.5935,7.0915,6.992,7.4045,7.0625
07/01/2018,7.2545,7.184,7.245,7.84,7.654,8.029,8.435,7.6995,8.1505,7.968,9.558,9.594,9.542,9.802,9.606,9.9395,9.824,8.8545,8.883,8.4575,7.517,7.139,7.6065,6.925,6.48,7.056,6.624,6.675,6.701,6.4895,6.531,6.4865,6.621,7.36,7.427,7.424,7.5425,8.1505,7.8815,7.344,7.523,7.8915,7.8815,7.776,7.7855,7.6545,7.731,8.5025
08/01/2018,7.92,7.7215,7.7795,8.326,8.109,8.656,9.6705,9.331,8.1375,8.5985,9.053,9.0495,9.053,9.011,9.4945,12.5665,19.9295,24.7455,25.8974,25.7505,27.5455,28.0895,30.205,30.0385,29.6,28.8414,27.427,26.688,26.1795,25.7055,24.9985,24.5984,26.0285,24.0704,20.6975,18.813,18.5119,16.4705,12.544,10.88,10.592,8.63,7.808,8.0065,7.917,7.8625,7.9005,7.805
09/01/2018,7.8785,8.134,7.978,7.92,8.6815,8.3135,9.069,9.43,8.65,8.7805,9.8465,8.672,8.915,10.1665,10.8705,13.0815,18.6814,24.7075,28.1535,27.12,27.136,26.7745,26.739,27.2415,27.632,27.7439,27.1585,27.408,27.9489,26.1504,26.8799,25.414,24.24,24.3104,19.9074,17.9804,16.7395,15.632,11.952,10.31,10.8995,7.7535,8.6335,7.869,7.491,7.709,7.3855,7.296
10/01/2018,7.9585,7.9135,7.6415,7.52,8.1315,7.811,8.064,8.317,7.9935,7.616,8.3805,8.48,8.3075,8.3485,8.5795,11.251,17.9585,24.208,25.5744,23.6924,26.01,27.9965,27.0049,26.224,27.12,26.179,24.6369,24.3104,25.0525,24.6595,25.4494,23.3185,23.7215,22.483,21.101,17.9615,15.216,14.899,13.392,9.9265,10.2755,7.747,7.776,7.427,7.322,7.3695,7.283,7.3665
11/01/2018,7.9745,7.4845,7.3635,8.176,9.152,8.3585,8.192,8.32,8.134,8.141,8.5825,8.576,8.579,8.432,8.72,11.293,16.2975,23.459,25.437,24.6945,25.8654,26.061,26.454,25.277,25.2894,26.1985,24.995,25.2835,25.2415,24.2465,24.2945,23.43,23.834,23.5455,20.915,19.8495,16.4995,15.648,12.0605,12.4065,10.541,8.435,8.0865,7.891,8.653,7.888,8.16,7.9775
