,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2018,50.7249,50.395,50.665,51.5099,51.505,50.63,50.84,50.33,52.125,52.22,52.4949,52.365,70.12,77.5849,69.2249,66.665,67.68,64.805,66.8349,67.0449,63.825,64.4499,64.51,65.2399,69.4899,64.07,60.73,64.665,63.9399,68.54,63.86,64.8649,65.76,66.5149,63.965,65.08,66.5149,64.9649,65.0899,63.72,53.785,50.56,54.9199,52.845,49.9469,49.632,50.11,49.6419
02/01/2018,50,49.7599,50.2999,50.22,50.5,50.33,49.658,49.032,42.48,39.848,53.84,53.3499,79.5599,73.9899,78.105,81.1449,95.5999,98.1299,104.095,103.7099,100.9349,100.4349,101.245,98.8249,106.455,96,96.985,93.5849,92.29,96.07,97.3099,91.05,94.2149,86.995,59.2949,51.9249,48.212,46.6559,46,43.4319,35.088,30.224,30.8799,31.5359,29.5119,30.296,29.208,28.9839
03/01/2018,29.224,28.816,28.584,29.032,29.728,30,29.808,29.112,35.784,49.096,51.3349,53.36,69.2799,70.19,73.65,86.4649,100.0599,99.22,105.9899,102.65,100.9,99.195,98.305,94.6299,101.15,102.3799,105.62,100.62,102.375,100.76,102.55,101.9349,101.8499,99.51,60.9199,55.38,52.775,48.7929,49.312,45.4959,35.848,30.472,30.5119,30.728,29.5359,30.232,28.8239,29.0879
04/01/2018,28.728,29,29.1439,29.9279,29.592,29.12,29.16,29.4319,33.68,50.645,51.2799,52.73,68.3249,71.37,80.68,88.5199,97.2099,104.15,105.8899,106.5749,109.0149,111.5899,109.69,101.65,124.2699,120.105,119.5599,118.68,117.535,107.8,105.6149,97.2249,99.3899,91,58.5449,53.195,50.0999,47.7,46.9039,44.352,36.512,30.6,30.528,31.16,30.072,31.224,29.128,29.44
05/01/2018,28.7199,29.176,29.176,30.0879,30.1679,30.0879,29.3759,29.296,31.856,50.4049,50.2,50.7449,73.415,73.855,77.065,87.65,98.7099,103.8899,105.3249,105.8499,102.175,102.8499,105.695,99.44,99.65,104.6549,96.845,97.105,103.0899,97.1449,98.32,95.15,100.8399,91.5199,60.97,57.38,53.6349,53.04,49.401,47.56,36.3359,31.024,30.416,30.704,29.36,29.568,29.1919,28.672
06/01/2018,29.2479,30.48,29.872,30.136,29.2719,29.184,28.672,28.1439,28.104,27.944,28.408,28.6959,48.408,52.82,51.22,50.04,49.344,51.0999,59.2999,52.2999,59.3149,49.137,47.0719,44.728,45.1279,43.4399,45.0159,45.048,43.08,44.9199,44.264,44.568,43.568,44.3279,43.1679,43.296,43.504,43.2719,40.8639,44.1199,30.896,25.672,26.256,26.2719,25.9599,25.6,26.112,26.048
07/01/2018,25.632,26.152,26.048,27.336,26.576,25.728,26.368,26.072,26.1439,26.704,27.568,26.768,47.448,57.52,51.7649,49.763,51.7599,45.096,44.8559,45.736,43.608,45.56,44.84,44.096,45.2239,46.0719,45.944,45.4,45.8559,44.944,44.528,44.264,47.712,48.944,51.32,52.5649,53,53.3149,52.2799,53.88,37.6479,31.448,31.608,31.8239,31.368,30.736,30.552,30.04
08/01/2018,31,30.448,30.856,30.9599,34.568,33.7039,36.664,36.632,40.5439,43.368,43.5519,43.0239,62.9249,79.675,84.5899,94.93,108.0999,111.72,108.7149,103.2399,102.8799,102.445,100.8799,101.875,103.08,100.16,103.285,100.235,97.125,97.6399,95.97,94.2699,89.955,85.0299,64.275,63.695,60.7599,58,55.9249,53.5449,38.5789,32.6959,31.968,31.392,30.808,30.32,29.92,30.232
09/01/2018,30.176,29.6,30.0639,29.896,34.2799,33.848,32.944,33.9039,37.304,37.5999,44.7999,44.256,65.3,77.4199,75.2699,92.44,102.665,102.8249,99.775,97.3649,99.985,97.8799,99.5749,98.05,102.2949,96.5199,95.625,99.415,95.775,91.9049,93.025,94.3899,91.37,83.04,65.2149,61.025,57.3349,52.4399,51.8149,51.7799,38.264,32.784,32.5359,30.8799,30.8799,30.224,30.176,30.784
10/01/2018,30.968,30.552,31.2,30.184,35.816,33.6399,34.048,34.192,37.504,38.352,45.736,45.248,62.9249,69.9599,72.675,84.9349,93.11,101.76,101.995,105.98,99.785,100.04,99.5599,98.855,97.62,94.75,95.16,90.2549,89.5149,86.6849,87.025,84.29,86.0149,81.305,60.365,55.6749,52.66,48.6199,48.1679,48.08,38.3359,31.664,31.856,31.448,31.048,29.856,30.016,30.112
11/01/2018,30.08,29.568,30.448,29.952,34.776,33.784,33.472,33.576,37.7999,37.88,45.6399,44.528,63.695,68.6849,68.1149,81.6299,95.5199,100.2099,100.51,104.4,101.8,97.555,97.68,99.3799,99.705,97.775,98.1299,94.04,94.2699,91.01,89.19,90.1699,88.4649,82.415,66.625,58.615,55.825,53.4,52.36,47.9529,37.16,31.7439,32.4399,31.288,30.504,30.072,29.7439,29.656
12/01/2018,29.52,29.6399,30.504,30.216,30.48,29.944,30.424,30.976,37.416,38.5519,46.3279,45.1279,62.08,67.0299,69.8249,84.6699,97.01,100.32,104.705,100.0149,94.9349,99.855,97.385,96.5299,96.9499,97.5299,96.32,91.04,92.44,90.04,87.26,86.41,84.5599,79.76,61.1899,56.77,53.68,48.6419,47.896,46.576,35.9039,31.504,32.3279,32.048,30.448,29.936,30.3519,29.768
