,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
1/1/2021,102.2,99.6,99.7,100.4,100.1,100.9,101.5,103.5,100.4,100.2,99.8,99.5,98.9,98.6,102.9,98.1,96.2,92.1,93,94.1,93.9,92.9,92.4,90.2,89.4,89.7,95.6,94.8,96.5,98.9,98.2,98.5,104.4,108.2,107.4,107.5,108.2,109.8,107.1,105.7,103,102.5,103.4,108.4,105.5,103.3,102.3,101.4
1/2/2021,104,105.4,105.1,102.6,102,101.4,101.4,103.6,101.1,102,101.1,101.3,112.5,118.6,143.3,159.5,163.3,155.7,155,166.7,168,180.7,187.3,198.8,206.9,200.1,183.9,192.6,205,189,198.9,198.7,212.3,211.1,198.5,212.1,215.4,165.3,171.7,194.6,195.3,182.8,192.4,185.3,181.4,189.7,184.7,183.6
1/3/2021,183,183.2,177.5,186.6,182.5,184.6,174.9,160.5,175.4,183.2,167.3,133,143.5,144.1,169.2,184.7,194.9,193.1,204.9,206.1,202.7,211.5,214.6,214.7,210.9,209.9,221.6,223.6,226,210.4,212,200.5,207.1,228.7,230.5,233.9,229,173.1,188.9,212.4,209.2,211.8,187.3,151.6,148.4,149.8,170.6,208.1
1/4/2021,209.7,197.8,185.7,193,203.8,217.9,219,210.9,208.1,212.8,201,196,191.2,157.6,180.6,207.8,224.2,224.4,222.5,224.8,214.8,208.2,218.9,228.9,225.6,236.8,222.9,225.2,213.8,205,222.1,227.6,233.8,232.6,230.9,236.6,246,182.1,220.6,209.4,198.9,222.7,227.7,223,206.1,213.8,225,217.9
1/5/2021,198.4,186.3,192,194.4,190.8,213.1,207.4,206.9,203.6,218.5,209.1,208.3,181.6,155.7,192.5,188.5,193.2,203.9,205.5,202.5,182.6,185.8,188.5,202.4,215,213.6,235.3,236.4,221.4,234.3,228.6,226.3,210.9,226.5,226.4,231.7,213.5,171.2,202.8,229.3,229.3,229,225.3,231.9,234.2,226,227,227.8
1/6/2021,226.9,220.7,215.7,213.8,208.3,232.9,227,221.3,221,222.5,227.4,223.4,217.8,165.9,211.7,222.7,229.5,223.2,216.3,234,238.9,237.6,239.5,239.7,237.3,249.5,228.7,231.4,225.9,224.1,227.1,222.3,234.5,236.8,235.7,233.3,222.4,175.8,225,220.4,231.8,222.5,232.9,249.9,229.4,229.5,208.6,226.9
1/7/2021,209.3,210.2,218.3,213.2,208.5,212,203.8,199.9,202.4,201.2,198.1,203.8,197.5,153.8,185.5,214.1,220.5,227.5,229.3,223.1,222.9,226.9,228.6,231.8,227.1,228.9,220.5,230.2,250.5,231.2,225,231.5,221.4,215.6,211.6,221.8,226.4,179.8,218.5,221.5,233.4,209.7,219.7,229.4,232.9,229.2,223.7,227
1/8/2021,220.7,210.5,221.8,214.9,212.9,211.1,212.3,207.3,207,205.3,198.6,196,200.4,157.2,185.8,207.9,204,192,216.1,210.3,212.5,211.2,204.1,208.5,206.9,198.2,191.5,199.3,192.6,194.6,200.8,214.5,242.8,230.6,240.7,227.4,241.6,193.8,218.6,224.1,244,254.8,238.3,238.4,233.5,225.4,245.5,238.8
1/9/2021,213.2,225.7,236.2,226.3,229.5,233.8,235.9,218.6,235,229.3,226.4,223.5,212.6,158.2,203.7,234.8,233.8,220.3,207,197.8,186.7,211.3,227.3,213,236.5,227,234.6,239.6,231.5,224.4,227.3,231.4,239.7,239.2,247.1,235.7,241.8,189,207.3,225.1,233.9,244.4,237.1,242.1,229.5,212.1,211.3,209
1/10/2021,229.1,217.8,217.9,219.5,220.1,215.6,218.3,202.4,201.8,215.4,201,199,211.8,176,216.1,217.4,208,210.7,221.2,223.1,237.9,230.2,217.1,230.2,222.8,227.1,243.7,232.9,239.1,248.9,247.2,246.2,236.1,248.1,250.8,241.3,246.4,197.1,187.8,217.2,227.2,230.7,228.4,214,225.3,226.1,222.9,225
1/11/2021,215.2,223.1,215.4,219.6,207.8,216.4,209.4,216.2,216.9,204.5,211.2,191.7,206,179.3,221.2,229.6,249.6,245.6,237.5,236.4,238.6,234.8,238.1,236,232.8,240.4,248.5,229.5,231.7,228.4,249.2,246.4,232.7,227.6,238,238.3,239.8,173.1,209.1,229,226.6,212.3,226.8,239.4,236.9,235.8,232.7,243.2
