,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2021,60.2,66.4,71,68.6,68.6,66.1,71.5,65.1,76.7,70.8,68.8,67.7,133.3,117.9,122.5,124.4,143.3,129.9,144.4,129.1,136.1,130.7,130.6,135.5,125.2,128.6,125.5,118,120,117.2,113.2,120.8,113,112.1,114.4,117.3,54,50.8,47.5,45.6,50.2,45.4,44.8,54.6,51.6,54.7,57.2,56.7
02/01/2021,66.9,59.8,62.1,63.2,61.5,66.1,64.8,60.4,59.9,63.3,57.6,61.3,104,94.2,94,95.2,102.6,100.1,102.9,94.4,95.5,93.1,94.9,89,92.4,84.1,85.8,85.5,87.7,87.4,92.3,93.1,89.3,94.1,99.7,91.8,59.7,58.8,54.9,59.6,62.4,61.8,57.5,63.3,58.8,57.6,60.1,61.9
03/01/2021,68.2,64.9,68.5,62.9,65.9,64.5,63.1,65.2,64,63.8,70.8,68.7,108.6,97.3,93,96.5,100,97.2,96.1,97.9,96.1,91.9,91,90.8,88.5,87,83.8,82.8,88.2,80.5,87.1,92.4,89.6,88,89.4,89.1,52.2,54.6,61.5,51.1,54.1,51.3,51.9,53.5,56.7,51.5,57.6,50.9
04/01/2021,63.4,57.7,63.8,60.4,59.3,63,63.2,61.4,62.5,65.9,64.1,68,129.3,119.3,114.2,109.8,145.1,153,155,150.3,152.6,149.8,143.3,150.2,141,144.1,144.6,144.8,132.8,127.6,138.2,133.6,134,135.1,132.2,127.3,66.2,66.3,59.7,60.3,71.3,68.7,74,67.2,74.2,68.2,76.9,65.8
05/01/2021,76.6,74.9,82.5,76.1,83.5,74.9,77.2,77.4,90.6,80,86.2,80.5,135.6,127.3,124.9,123,154.7,140.7,146.6,140,146.8,148.1,161.8,149.9,156.2,148.5,155.6,149.4,146.5,142.4,147.6,147.6,138.4,140.8,137.5,129.6,71.6,67.7,60.1,60.5,59.6,56.8,55.8,64.7,64.4,74.9,67.9,63.4
06/01/2021,73.4,75.8,77.3,76,74.2,70.1,77,74,77.7,79.6,79.2,75.1,122.3,116.5,120.3,117,137.2,138.2,132.6,141.1,137.8,139.5,137.5,139.1,131.8,145,137.1,140.1,138.1,135.2,132.4,133.7,133.4,130.2,129.2,127.5,65.3,61,61.3,58.2,60.5,62,59.8,62.2,60.3,59.1,59.8,66.2
07/01/2021,71.9,73.4,71.9,75.2,76.4,79.2,76.4,77.9,77.4,86.1,84.3,81.3,135.8,116.5,116.1,138,174.1,157.9,166.7,165.2,169.8,165.6,170.8,165.7,173.2,163.7,158.8,158.3,148.6,148.1,145.6,145.2,141.8,147.2,147.2,150.2,78.2,72.8,73.4,79.7,75.8,82.4,73.7,82.2,76.5,82.5,79.3,78.2
08/01/2021,92.1,87.2,93.4,86.1,88.7,89.7,86.7,89.9,89,92.7,91.5,91.4,139.6,129.1,126.7,144.5,160.8,160.6,157.9,152.9,153.9,157.7,153.4,147.8,157.8,157.9,151.5,159.4,159.2,155.9,156,156.8,153.2,155.1,154.2,143.9,80.2,72.4,84.9,74.7,81.8,78.2,84,74.1,78.8,73.1,78.9,75.8
09/01/2021,91.1,83.1,89.4,87.5,92.5,89.2,84.8,90.1,83.4,93.5,90,89.5,138.5,118.9,123.6,126.5,131,127,126.3,126.8,120.3,127.1,122.1,119.7,117.6,108.5,110.3,105.3,103.6,103.7,106.4,107.3,104.3,109.3,117.6,110.3,79.8,74.5,73.8,75.5,83.5,70.2,90,73.8,85.9,79.2,86.8,79.6
10/01/2021,100.5,90.9,93.8,99.5,89.8,94.8,94.7,94.9,96,91.9,96.8,93.2,145.1,124,132.7,124.5,139.5,128.2,136,123.2,129.8,126.3,65.6,70.2,69.3,69.4,74.5,75.5,74.8,73.7,78.2,76.4,77.6,78.2,80.5,74,50.2,46.9,47,47.2,47.4,46.1,49.2,52.2,52.3,56,52.3,49.7
11/01/2021,59.3,59.8,57.2,56.5,58,56.6,58.2,59.4,59.8,61.6,61.8,65.4,104.1,97.4,99.4,99.8,122.7,120.2,124.5,119,113.6,112.9,113.3,112.5,109.1,108.7,110.7,109.4,106.4,106.9,104.5,103.3,103.4,104.3,102.9,105.2,49.5,48.4,49.9,47.9,45.3,50.7,44.6,45.1,43.4,43.1,44.8,46.2
12/01/2021,53.2,52.7,51.2,53.2,53.4,55.4,54.6,51.8,52.2,54.1,55.3,60.4,89.4,83.3,84.3,84.2,99.5,98.7,98.3,99.9,82.8,86.7,97.7,96.8,94.7,96.1,97.9,100.3,98.5,99.4,100.7,94.9,99,99.7,101.3,96,46.2,44.1,40.9,38.5,43.7,41.9,40.6,40.5,51.1,46,44.2,42.7
13/01/2021,50.1,55.5,56.9,50.7,50.9,54.6,49.8,55.3,51.7,56.4,59.5,57.2,106.4,98,91.2,95,123.3,130.8,113.1,110.5,111.8,108.6,110.1,107.2,109.3,107.2,97.9,103.4,101.1,101.7,98.8,101.2,98.9,96.5,98.6,95.4,54,49.8,44.2,42.3,42.3,49.7,47.7,50,48.5,45.3,41.4,39.6
14/01/2021,50.3,45.8,50.3,49.3,44.6,48.1,47,52.6,51.7,55.6,55.4,56.9,104.4,100.4,99.7,102.1,113.9,113.1,115.1,113.5,107.3,109.1,115.7,114,114.8,120.2,117.9,121.9,119.8,116.2,119.3,122.8,113.3,110.3,117,110.5,57.1,55.7,52.6,61,60.2,57.7,57.8,54.3,60.3,62.8,56.2,53.3
15/01/2021,68.4,63.2,66.3,67.3,69.9,66.2,69,63.1,76.8,70,74.2,75.7,125.3,130.9,140,135.5,158.1,151.4,158.8,156.5,155.6,154.8,152.3,145.2,147.5,142.8,132.1,136.4,134.7,136.4,127.3,132.7,125.6,127.6,131.4,122,73.2,67.1,61.6,59,74.1,72.9,68,70.6,69.3,71.1,63.8,71.9
16/01/2021,75.5,72.7,78.6,70.7,78.4,70.4,66.4,72.4,67.6,75.4,77.8,71,114.9,105.3,110.5,108,110.5,100.5,101.1,96,92.4,89.3,91.8,84.6,86.1,88.2,84,81.9,83.5,85.2,80.4,80.5,83.2,82,86.1,78.5,56.3,52.8,52.1,52.4,53.4,54.3,53.2,53.9,56,54.2,51.2,52.2
17/01/2021,59.6,61.2,62.4,63.6,65.4,64.3,63.1,65.8,63.8,65.2,64.6,65.1,102.8,92.4,98.4,93,95.3,89.6,97.2,88,91.5,88.3,84.7,84.5,82.3,80,81.8,78.4,80.5,81.4,82.8,81.6,82.1,83.2,83.7,84.9,56.8,57.2,54.1,58.3,58.7,60.3,60,57.6,55,61.3,58.5,60.8
18/01/2021,72.8,73.2,70.6,67.6,68.8,68.6,67.7,68.7,71.8,73.7,72.5,76.5,118.1,111.5,118.8,109,136.5,119,117.6,115.9,105.7,109.5,103.7,109.6,110.4,107.6,109.4,98.4,84.2,82.5,82.9,82.7,82.4,82.2,77.3,73.2,37.5,35.6,35.3,40.3,37.5,38.4,43.1,38.4,37.9,36.7,38.2,38.2
19/01/2021,44.7,42.8,42.7,42.2,46.1,44.5,42,41.5,44.9,51.5,43.6,44.1,85.3,73.4,72.5,75.2,84.4,90.3,90.7,96.5,86.6,93.4,92.1,91.5,94,90.9,93,89,88.1,92.4,92.2,90.3,87.3,86.9,83.2,78.5,39.9,42.5,41.3,41.3,45,40.8,45.8,39.4,38.1,37.5,39.1,42.7
20/01/2021,44.5,44.7,42.2,45.4,49,44.1,44.6,44.7,47.6,48.3,54.3,51.6,90.5,80,73.8,75.6,90.4,91.3,94.1,97.3,99.6,95.4,96.2,96.4,98.3,96.1,98.1,92.4,96.8,94.8,99,93.5,95.5,93.3,90.1,82.4,44.9,43.4,44.3,48.4,47,45.3,50.3,46.4,46.6,45.6,45.3,45.1
21/01/2021,50.3,50.5,53.3,57.2,52.2,52.6,56,53.1,50.6,54.9,59.8,63.8,98.7,108,117.3,109.2,126.6,116.1,112.4,110.3,109.1,110.1,102.3,108.4,101.8,104.8,97.2,102.3,102.1,108.4,100.3,103,99,96.1,100.4,96.9,50.2,45.9,47.9,47.8,47.1,53.5,52.7,50.1,51.3,40.6,46.8,47.2
22/01/2021,63.7,62.5,57.7,60.8,61.6,57.6,60.7,58.4,64.6,70.9,70.1,70.9,111,116.7,124.5,112.4,137.9,140.3,127.7,129.8,120.2,117.3,106.7,107.3,109.1,104.2,103.7,100.7,102.6,97.1,102.5,103.7,102.2,105.5,98.1,91.3,46.8,50.1,49.6,46.3,51.6,59.8,50.5,50.6,47.6,57,46.4,55.1
23/01/2021,57,66.3,62.3,68.5,62.2,60.3,62.2,64.6,66.3,62.6,78.4,66.8,104.9,91.6,95.9,92,103.4,99.6,103.5,101.3,97.6,100.4,93.6,99.6,92.4,88.1,82.9,95.2,83.5,88.9,84.4,87.3,86.8,81.6,85.4,85.6,51.6,58.6,56.8,54.9,56.9,60.7,57.7,60.9,65.5,69.2,68.3,60.9
24/01/2021,66.9,73.8,70.9,75.4,80.4,74.2,78.3,72.7,75.6,76.7,77.1,78.7,119.8,109.1,104.4,100,111.7,104.1,103.7,100.1,98.9,106.1,109.5,107.6,98.9,99.6,105.6,104.4,99.6,100.9,104.2,102.7,103,103.9,102.8,98.7,68.6,68.5,65.2,61.7,63.9,67.5,64.6,70.2,63.4,69.6,64.3,68.8
25/01/2021,66.9,73.8,74.9,84.3,75,80.9,76.9,76.7,83.3,85,86.2,85.9,146.5,134.4,147.2,133.6,169.2,152.5,152.3,139.1,146.1,136.1,137.2,136.4,124.6,126.1,126.2,117.3,119.7,119.8,118.9,118.6,113.1,122.3,115.2,113.3,63.3,61.2,60.1,61.7,65.4,62.5,65.2,75,76.2,62.8,73.7,67.8
26/01/2021,74.6,70.7,82.8,75.3,80.8,71.9,80.9,79.4,79.7,74.1,88.6,80.1,137.3,115.3,117,125.6,145.7,137.7,131.8,127.6,95.7,109.9,108.6,115.8,116.1,118.1,118.1,110,115.5,110.9,109.4,109.4,110.5,109.7,105.4,97.8,51.9,50.7,57,56,58.3,52.8,51.6,49.2,55,57.2,46.3,49.9
27/01/2021,60.8,58.9,64.5,55.3,58.1,61.2,57.9,52.7,65.1,58.8,67.3,65.2,109.2,104.2,103,99.4,109.3,105.2,102.8,105.2,110.8,106.1,101.9,102.9,106.5,102.2,102.7,99,99.8,99.7,103.3,96.1,94.6,93.3,92.4,87.1,48.6,48.1,46.6,51.7,49.7,48.7,49.2,54,50.7,45.8,41.6,44.6
28/01/2021,52.5,47.3,48.3,47.9,47.2,45.7,53.9,47.6,46.8,51.7,52.6,54,95.7,85.7,89.3,85.4,99.8,96.2,100.3,95,98.9,99.9,97.9,97.1,98.8,100.1,95.5,98.1,96.4,93.5,91,91.3,88.3,87.4,87.3,83.7,43.2,38.9,44.4,41.7,40.6,41.4,40,39,45.9,44.2,39.6,43.8
