,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
1/1/2021,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/2/2021,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.3,2.9,2.4,2.5,2.7,2.7,2.8,2.7,2.7,2.8,2.9,2.8,2.8,2.8,2.8,2.8,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
1/3/2021,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.2,2.8,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.3,3.4,3.3,3.3,3.3,3.3,3.4,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
1/4/2021,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.9,3.8,4,3.5,3.5,3.5,3.6,3.5,3.5,3.5,3.7,3.7,3.7,3.6,3,3.4,3.9,4.2,4.1,4.1,4.2,4.2,3.9,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.1,3.1,3.1,3.2
1/5/2021,3.2,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.1,3.5,3.3,3.3,3.2,3,3.4,3.5,3.1,3.4,3.5,3.5,3.4,3.4,3.4,3.1,3.1,3.1,3.5,3.4,4.2,3.4,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.3
1/6/2021,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.5,3.4,3.4,3.3,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3,3.1,3.2,3.3,3.2,3.3,3.2,3.2,3.8,3.7,3.7,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
1/7/2021,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.5,3.4,2.9,3,3.1,3,3.1,3,3,3.1,3,3.1,3.2,3.6,3.8,4.1,3.3,5.7,6,5.7,5.7,5.7,5.5,5,4.5,4.3,4.2,3.7,3.2,3.2,3.2,3.2,3.2
1/8/2021,3.2,3.2,3.3,3.2,3.3,3.2,3.2,3.3,3.2,3.2,3.2,3.3,3.2,3.2,3.5,3.5,3.5,3.8,3.8,3.4,3.2,3.1,3.1,3.1,3.1,3,3.1,3.1,4.9,5.5,5.5,5.3,4.6,4.5,4.2,3.4,3.4,3.3,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
1/9/2021,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.3,3.3,3.4,3.4,3.2,3,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.7,2.7,2.7,3.1,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
1/10/2021,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,2.9,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.9,2.8,2.8,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.3,3.3,3.3,3.3
