Demand,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/01/2021,20.1315,3.6128,2.544,1.1904,2.4672,2.8416,2.2016,1.1856,2.6432,2.8384,2.736,2.0352,1.4528,1.6256,1.2384,1.6176,0.6944,1.0304,0.4176,0,0.36,0,0.4656,0.0784,0.0912,0.4976,0,0.4256,1.4128,1.1696,1.176,1.5136,2.1392,1.8992,2.016,1.9728,2.0496,2.0144,1.5568,0.8976,1.464,1.528,0.8992,1.2176,0.7104,0.7072,18.627,19.624
02/01/2021,0.7154,3.0592,2.2176,2.688,0.8944,2.3392,2.696,1.4896,1.4832,2.8736,2.1792,2.1168,1.2016,1.472,0.7056,0.9072,1.1984,0.8128,0.592,0.728,0.1392,0.0448,0,0,0.2976,0.0208,0,0,0,0.1312,0.5968,0.664,1.3632,0.7536,1.2208,0.8896,0.7664,1.3072,0.7504,0.8144,1.2256,0.9168,0.7472,1.2704,0.8544,0.88,18.331,19.6735
03/01/2021,1.1027,2.8464,2.3744,2.7264,1.6576,1.1904,2.4288,2.168,2.4592,2.7248,2.0208,1.256,2.2096,0.7376,1.2912,0.7792,0.8192,1.112,0.0416,0.0496,0.4384,0,0,0,0,0.04,0,0,0.0592,0,0.1648,0.832,0.672,1.0128,0.968,1.2736,1.144,0.8016,1.2288,0.7696,0.9408,1.296,0.7696,0.7728,1.2208,0.8992,18.059,20.1425
04/01/2021,0.7105,2.344,3.1104,2.2768,0.8432,2.6816,2.0384,2.2784,2.288,2.0176,2.04,1.1936,2.3248,1.136,1.656,1.0896,1.0832,2.6032,1.2336,0.9984,1.4176,4.6128,1.9168,0.7488,2.1488,1.4048,1.424,1.352,1.0288,2.7424,2.936,2.6016,2.7264,2.4928,1.9808,2.4432,1.648,1.7424,1.976,1.1808,1.2816,1.6848,1.0512,1.0192,1.0912,0.872,18.584,19.9215
05/01/2021,19.619,20.069,7.7585,0.8656,5.0125,0.7299,4.5744,0.872,4.1712,1.3056,4.192,0.7328,4.9968,1.3504,1.2528,1.7504,1.0976,2.6432,1.6816,1.128,1.0592,0.2224,0.0496,0.4128,0,0,0,0,0.1216,0.8896,1.2544,2.3472,2.88,2.368,2.1872,1.5328,1.4544,1.8848,1,1.0496,1.1488,0.9056,1.3264,0.9744,0.9152,1.3616,18.235,19.533
06/01/2021,20.2495,13.712,1.9137,3.1152,0.9024,5.9405,0.9635,0.9936,7.0845,0.9299,0.84,6.936,1.1248,2.4512,21.1085,20.453,12.0945,7.062,6.064,2.8068,1.9152,1.752,1.904,1.7648,0.5952,1.16,0.7856,1.3552,0.8144,2.4144,2.1024,3.4,4.6464,5.0445,2.6835,2.88,2.5232,2.1648,2.2144,1.6656,2.0384,1.3296,1.9824,1.2736,1.7632,1.1536,18.4575,19.7345
07/01/2021,20.2335,19.8575,20.672,20.309,20.7055,20.3005,20.0515,19.259,0.9507,4.0192,2.912,1.5312,5.4175,9.6625,20.5085,23.296,8.565,6.6975,6.6735,4.9523,2.5408,3.4144,1.1632,0.256,0.0032,0.2864,0.064,1.5232,1.2384,2.3888,3.4656,4.184,4.7024,4.4704,2.3264,3.1088,2.3776,2.2832,2.304,1.424,1.2512,1.8832,1.1952,1.2416,1.9056,1.0592,18.075,20.163
08/01/2021,21.05,19.734,20.2995,20.4205,20.002,19.734,14.4785,3.4675,2.6208,0.824,2.9664,2.6544,3.4784,1.8112,1.3424,1.7888,1.3232,2.6624,2.2288,1.9584,2.2272,1.0672,1.9296,0.9872,2.0544,1.9696,1.536,2.736,2.168,3.0656,1.9408,2.9264,5.323,4.309,4.0816,3.552,3.5264,3.2448,2.3968,2.8144,1.9312,1.9984,2.0512,2.0624,2.4032,1.6032,18.587,21.307
09/01/2021,20.2865,7.2785,3.2466,2.2592,2.8032,2.9152,3.2448,1.5904,3.5344,2.5456,0.864,2.6528,2.4608,0.7744,1.2832,0.8272,0.8288,1.0688,0.1792,0,0.1728,0,0,0,0,0,0,0,0,0.2992,1.2304,1.6352,2.1184,2.3008,2.1264,2.0752,1.9024,2.056,1.7648,1.912,1.896,1.6224,1.0704,0.7968,1.5024,0.7664,17.974,20.4435
10/01/2021,1.7,1.6,1.6,2.5,1.7,1.5,1.6,2.3,1.8,1.5,1.6,1.6,2,2,2.1,2.8,1.8,2.4,1.9,2.2,1.6,1.9,2.2,1.3,1.4,1.8,2.1,1.6,2.2,2.5,2.5,2.4,2.3,2.3,3.1,2.4,2.4,2.4,2.4,2.5,2.9,2.8,2.9,2.9,2.7,2.8,2.6,2.5
11/01/2021,2,2.2,2.1,2,1.8,1.9,2,1.9,1.9,2,1.9,2.2,2.4,2.4,2.4,3.2,2.9,2.8,2.2,2.4,2.8,2.2,2.4,1.9,2.3,2.6,2,2.7,1.6,1.6,2.4,2.6,3,2.6,2.5,3,2.5,2.5,2.5,2.5,2.5,2.4,2.7,2.6,2.8,2.2,2.2,2.2
12/01/2021,2.5,2.5,2.3,2.2,2,2.7,2,2.1,2,1.9,1.7,2.3,2.5,2.4,3.3,2.6,3.1,3.2,2.6,2.2,0.7,1.4,1.5,0.7,0.3,0.7,1.3,1.9,1.8,1.9,3.2,2.8,2.9,3.1,2.7,2.8,2.9,3.4,2.7,2.6,2.4,2.7,2.9,2.9,2.8,3,2.7,2.7
13/01/2021,20.067,20.032,20.048,19.976,20.4915,20.019,11.811,2.6244,0.7392,2.7184,2.552,2.72,0.9616,1.3184,1.4656,1.1152,1.6992,2.112,2.12,2.3552,3.9648,3.5664,2.4336,2.008,1.7952,2.7552,2.3952,2.2224,2.712,2.7024,2.848,3.4592,3.6976,3.6656,3.1104,2.6064,2.7072,1.7712,2.0928,1.2512,1.032,1.7232,0.952,1.424,0.8064,1.496,18.118,20.5505
