d01,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
1/1/2021,6.5295,6.408,6.4195,6.441,8.057,8.512,6.9375,6.4415,6.459,6.2705,7.0135,7.091,7.1395,7.6535,16.1745,13.6405,15.2405,18.4635,20.4305,22.451,19.349,14.482,20.8415,18.8905,18.4265,22.561,15.7805,18.0985,15.403,13.1665,11.389,11.642,11.774,11.032,10.5845,10.259,10.7225,9.6915,8.7085,8.6595,8.732,7.878,7.822,7.3225,7.279,6.6825,6.5525,6.3345
1/2/2021,8.103,6.707,6.056,6.2955,6.713,6.6905,7.0075,6.133,6.088,6.2055,6.146,6.6815,7.352,20.224,13.128,12.0965,18.9985,21.3785,15.957,18.791,19.224,13.01,20.1295,15.7635,20.813,18.8425,19.5955,20.4565,15.416,12.261,10.7715,11.5155,10.8955,10.167,10.076,10.6345,10.421,8.593,8.207,8.1375,8.6685,8.2415,7.751,6.8175,6.982,6.9585,6.649,7.2245
1/3/2021,6.6935,6.521,6.2715,6.4565,12.7865,6.5985,15.6955,6.579,6.1555,6.103,6.335,6.901,7.0205,11.7725,11.339,11.7835,18.716,17.5485,17.782,18.629,14.139,11.282,14.233,16.7345,16.955,14.779,15.802,14.514,11.151,14.197,9.927,10.016,10.0315,11.1745,10.2485,9.3405,8.291,8.1615,9.0615,11.232,11.1905,7.698,7.26,7.6345,12.09,9.7555,6.839,6.5665
1/4/2021,6.7475,6.738,10.366,10.5335,6.7025,6.33,6.159,6.203,6.3685,6.205,6.3285,7.513,8.3435,13.6515,10.7855,10.727,11.372,12.933,14.1085,14.707,11.7115,10.9905,17.0715,16.441,21.545,16.6355,19.839,18.96,20.4465,15.0375,17.487,13.504,9.2195,10.471,8.706,10.628,10.1755,9.307,8.449,10.1635,15.0215,8.409,7.929,7.3135,15.606,9.26,7.078,6.956
1/5/2021,6.9495,6.7805,6.573,9.27,6.7745,6.378,6.411,6.199,6.42,6.332,6.6095,7.0695,7.111,10.995,9.776,9.9305,15.6985,21.1725,19.1475,17.2185,22.0905,11.7415,18.1175,17.227,21.498,18.0075,18.4965,19.115,11.5895,12.6005,11.4865,11.0405,11.6625,10.0715,9.492,10.9835,10.937,10.383,8.6865,8.1405,8.1975,8.2845,7.9065,7.827,7.726,8.006,7.4875,6.9165
1/6/2021,10.8265,8.7285,8.471,12.2635,9.6355,8.8065,14.195,8.723,8.6275,11.629,9.376,10.451,12.214,12.1195,13.51,11.67,14.812,13.337,20.981,21.6095,26.4615,12.9185,15.509,16.6855,16.5565,20.434,15.5715,16.1365,13.668,14.986,14.513,13.905,10.754,11.254,12.3435,10.588,10.9685,10.677,8.822,9.563,11.0535,8.895,7.904,7.5055,7.327,7.009,6.659,6.876
1/7/2021,9.5855,6.496,6.327,10.631,10.6485,6.2115,5.94,6.207,6.083,6.1725,15.631,9.3345,9.376,8.02,11.572,11.327,15.7955,22.089,19.917,16.5705,26.8645,18.3545,24.247,26.969,24.8215,25.0145,18.7205,23.482,16.3025,10.5265,12.674,12.134,13.462,11.579,11.045,11.8285,12.633,9.351,8.1245,9.0375,8.1525,8.201,7.376,7.675,7.286,6.3325,6.83,6.008
1/8/2021,6.3995,6.0045,6.621,6.2075,5.757,6.4685,5.9675,6.0265,6.437,5.793,6.187,7.361,11.7875,13.9885,13.8285,13.507,16.58,16.5825,21.2,20.391,18.288,13.4165,19.139,17.448,11.4905,18.772,14.149,16.857,16.0145,11.0375,11.863,12.8625,9.265,11.0445,10.8155,9.381,8.342,8.365,8.1195,8.2755,8.523,7.8605,7.9655,7.712,7.4115,9.3175,7.622,6.3705
1/9/2021,6.752,8.532,6.163,14.3925,7.435,5.8365,6.194,6.0105,5.855,6.2975,6.1845,6.9695,7.33,10.5225,10.2075,11.655,15.4935,17.325,16.8685,18.2505,21.086,12.043,24.0155,17.338,14.574,19.439,19.2235,15.1855,12.5325,12.266,12.362,11.982,11.5775,10.6275,10.605,10.872,9.7865,8.9795,8.288,8.03,8.4075,7.931,7.5635,7.1885,7.2275,9.678,7.283,6.766
1/10/2021,6.9575,6.6995,6.8545,6.5005,6.52,8.708,6.5915,6.2715,6.3615,6.3065,6.5735,10.063,10.037,12.9665,20.188,12.2965,12.879,17.2585,20.3575,19.757,16.6155,12.81,19.2025,18.3,17.1845,19.219,19.9275,17.785,12.683,15.143,10.933,9.9345,9.855,10.573,11.583,10.7495,11.077,9.3625,8.4025,9.0325,10.306,8.344,8.3585,11.0205,12.4225,9.07,7.177,10.467
